STREAM,ADMNO,ENG,KIS,MAT,BIO,PHY,CHE,HIS,GEO,CRE,HSC,AD,AGR,COM,FRE,GER,,MUS,BST
SOUTH,6634,51,41,75,54,57,47,,,61,,67,,,,,,,
WEST,6707,49,50,50,46,,43,66,,75,,,,,,,,,72
EAST,6782,46,45,51,59,,61,,71,66,,,50,,,,,,
ALPHA,6630,48,52,59,50,,44,,58,68,,,,,,,,,80
WEST,6935,44,51,54,53,,54,,59,69,,,,,,,,,77
NORTH,6669,49,43,66,58,54,45,,71,68,,,,,,,,,
WEST,6665,48,52,59,41,,54,,60,73,,,,,,,,,67
ALPHA,6762,48,52,62,53,55,56,,58,68,,,,,,,,,
CENTRAL,6613,41,48,53,54,61,61,,,67,,,,,,,,,68
NORTH,6644,51,60,55,52,49,52,,,84,,,,48,,,,,
SOUTH,6670,52,43,68,62,60,52,,,70,,,44,,,,,,
ALPHA,6851,57,50,60,52,51,51,64,,64,,,,,,,,,
,6609,52,46,61,57,54,52,,,66,,,,61,,,,,
,6848,51,47,45,52,,51,,64,66,,,,,,,,,73
NORTH,6869,53,47,56,53,,46,,77,63,,,,,,55,C,,
,6695,46,47,58,52,,56,57,,66,,,,,,,,,67
WEST,6837,55,55,52,44,,48,67,,66,,,,,,,,,63
NORTH,6825,49,48,61,53,59,52,,58,72,,,,,,,,,
SOUTH,6772,48,43,65,63,,47,,59,69,,,57,,,,,,
,6607,56,54,69,42,,50,,54,60,,,,,,,,,61
CENTRAL,6930,47,41,68,49,63,53,,,60,,,,,68,,,,
NORTH,6807,48,36,55,59,48,71,,62,67,,,,,,,,,
,6694,48,49,63,61,42,49,,,70,,,,,65,,,,
,6760,57,49,60,46,,41,,61,64,,,,,68,,,,
SOUTH,6814,49,52,55,57,51,48,64,,71,,,,,,,,,
SOUTH,6864,55,40,47,56,59,51,,59,78,,,,,,,,,
ALPHA,6642,52,43,50,51,,45,,67,65,,,,,,,,,66
,6629,45,50,55,51,,49,,62,70,,,,,,,,,58
WEST,6844,50,46,57,55,,56,60,,67,49,,,,,,,,
WEST,6653,51,54,58,54,54,60,,,67,,,,,,49,C,,
ALPHA,6928,41,52,60,55,54,56,,,68,,,59,,,,,,
EAST,6853,43,29,77,57,53,62,,70,54,,,,,,,,,
SOUTH,6859,59,42,65,54,54,50,,,58,,,,63,,,,,
ALPHA,6666,44,42,57,57,55,58,,62,66,,,,,,,,,
EAST,6752,53,44,62,49,45,57,,,60,,,,,,,,,72
,6765,49,42,60,46,,47,,59,70,,,,,69,,,,
NORTH,6777,49,43,45,58,,45,57,,77,,,,,,,,,66
,6812,54,41,62,55,52,50,59,,69,,,,,,,,,
,6832,49,40,55,58,49,50,,68,70,,,,,,,,,
SOUTH,6927,47,46,71,49,,42,,61,64,,,,,,,,60,
EAST,6847,51,40,67,57,45,53,,,66,,,,,,58,C,,
CENTRAL,6903,35,40,63,47,55,47,,76,70,,,,,,,,,
CENTRAL,6840,46,44,90,40,56,63,,,52,,,,,,52,C,,
WEST,6737,43,54,56,45,,49,,59,64,,,,,,,,,73
EAST,6886,49,49,66,57,59,52,,53,56,,,,,,,,,
,6621,44,46,63,48,,52,,57,64,,,,,66,,,,
,6645,57,39,53,54,51,55,,67,62,,,,,,,,,
NORTH,6657,52,48,55,47,,47,51,,69,,,,,,,,,69
WEST,6809,48,47,58,53,56,58,,47,72,,,,,,,,,
NORTH,6875,55,40,74,47,56,52,,,59,,,,53,,,,,
SOUTH,6628,56,43,48,63,47,62,,,66,,,,51,,,,,
ALPHA,6636,51,50,52,50,,38,,62,56,,,,,,,,,73
NORTH,6753,52,39,45,61,47,51,,66,71,,,,,,,,,
WEST,7299,49,40,62,55,52,51,,62,61,,,,,,,,,
CENTRAL,6745,44,57,55,45,,40,56,,66,,,,,,,,,65
SOUTH,6658,50,43,56,50,,41,60,,60,65,,,,,,,,
CENTRAL,6829,44,45,78,42,68,58,,,57,,,43,,,,,,
ALPHA,6726,52,44,58,63,47,45,,,61,,63,,,,,,,
NORTH,6835,54,46,59,46,55,40,,,79,,,,52,,,,,
WEST,6677,40,49,57,53,,50,67,,59,,,57,,,,,,
EAST,6824,41,47,55,57,47,60,,,62,,,,,56,,,,
WEST,6659,57,55,43,43,,49,62,,59,,,,,,,,,62
EAST,6914,44,37,57,59,,55,50,,69,,,,57,,,,,
NORTH,6881,52,44,63,46,,50,47,,59,,,,,66,,,,
SOUTH,6855,53,45,63,52,39,45,,,64,,,,,,67,C+,,
CENTRAL,6907,57,37,65,44,,43,,71,54,,,,55,,,,,
EAST,6830,35,42,75,55,50,58,,,59,,,48,,,,,,
,6790,54,49,40,50,,40,,56,73,,,,,,,,,63
SOUTH,6802,51,47,40,50,,36,,53,74,,,,,74,,,,
CENTRAL,6811,60,40,55,44,53,45,,60,63,,,,,,,,,
EAST,6892,46,43,60,45,49,51,,,60,,,,,,,,,66
ALPHA,6606,47,28,64,53,56,52,,,58,,66,,,,,,,
EAST,6680,42,38,62,54,36,50,,,67,,,,,,,,,74
,6808,47,39,47,55,,39,64,,77,,,,,,,,56,
SOUTH,6826,50,38,67,46,,42,,56,69,,,,,,,,54,
EAST,6899,52,45,68,49,42,48,,,66,,,,50,,,,,
NORTH,6603,50,42,54,45,,53,62,,63,,,,,,52,A-,,
CENTRAL,6793,46,43,57,45,50,47,,,66,,,,,,,,,62
EAST,6656,60,40,41,55,,39,57,,63,,,,,,,,,60
WEST,7301,52,48,45,44,46,51,,,61,,,,,70,,,,
,6640,57,43,62,49,43,41,56,,69,,,,,,,,,
SOUTH,6730,48,38,50,54,49,51,,,73,,,,57,,,,,
,6655,40,47,66,49,58,37,,60,57,,,,,,,,,
CENTRAL,6751,39,50,51,44,,37,,61,69,,,,,67,,,,
,6687,39,42,41,47,,50,57,,68,,,,,,,,,70
NORTH,6915,47,42,38,52,48,40,,71,79,,,,,,,,,
,6767,47,48,39,50,,47,58,,71,,,,,,55,C-,,
WEST,6797,41,45,53,57,57,54,,57,51,,,,,,,,,
,6834,43,35,62,49,56,55,,60,52,,,,,,,,,
EAST,6904,41,41,61,50,42,56,,,49,,,,,,,,,71
EAST,6746,45,35,51,55,,50,,60,72,38,,,,,,,,
EAST,6620,48,44,54,46,,38,48,,71,,,,,,,,,67
SOUTH,6754,47,36,62,51,53,44,,57,64,,,,,,,,,
EAST,6792,38,48,52,51,,50,,57,63,,,,,,,,54,
SOUTH,6894,59,41,52,51,,39,49,,66,,,,55,,,,,
WEST,6821,53,39,50,51,49,45,,,67,,,,,,,,,57
,6618,47,48,58,37,,52,,50,50,,,,,66,,,,
ALPHA,6866,41,47,45,34,,38,70,,66,,,,,,,,,69
CENTRAL,6619,44,43,60,45,46,50,,,56,,,,,,,,,62
EAST,6880,48,45,52,48,50,55,,,54,,,,,,,,57,
,6663,52,36,61,36,65,43,,,62,,,,54,,,,,
NORTH,6854,41,44,73,46,54,46,,,55,,,,,51,,,,
SOUTH,6876,48,41,70,52,40,52,,,64,,,,,,43,C-,,
WEST,6719,41,54,47,42,,41,60,,71,50,,,,,,,,
ALPHA,6884,49,49,51,52,49,46,,59,59,,,,,,,,,
ALPHA,6690,42,54,55,44,,40,59,,58,,,,,,,,,58
,6703,55,44,57,47,43,50,,,64,,,48,,,,,,
CENTRAL,6913,45,54,66,43,44,43,,,52,,,,,61,,,,
NORTH,6759,51,45,39,44,,37,59,,65,,,,,67,,,,
SOUTH,6839,47,36,78,54,44,48,,,57,,,,,,,,,46
ALPHA,6798,41,49,57,48,57,50,,,55,,,47,,,,,,
WEST,6883,42,40,54,40,43,54,,65,65,,,,,,,,,
CENTRAL,6861,42,38,66,41,56,38,,61,60,,,,,,,,,
NORTH,6723,39,44,68,45,48,42,51,,66,,,,,,,,,
SOUTH,6943,50,39,54,57,46,40,,,59,,,,,,,,,58
,6702,40,46,40,54,47,41,69,,61,,,,,,,,,
ALPHA,6774,40,43,48,53,,46,,57,59,,,56,,,,,,
CENTRAL,6919,51,43,57,49,51,37,,62,50,,,,,,,,,
,6602,44,48,66,37,,41,46,,60,,,,,,56,D,,
EAST,6716,39,45,46,45,,42,52,,68,,62,,,,,,,
,6696,45,45,46,44,,47,50,,70,,,,49,,,,,
ALPHA,6822,48,41,50,47,44,47,,,65,,,,,,55,C,,
WEST,6701,34,41,55,42,,42,,61,70,,,,,,,,,52
ALPHA,6648,44,43,44,52,,44,58,,61,,55,,,,,,,
,6874,42,40,59,52,52,51,,,54,,,,48,,,,,
EAST,6908,41,37,50,48,56,53,,,59,,,,,,,,54,
NORTH,6909,43,38,55,43,,46,,64,64,45,,,,,,,,
ALPHA,6678,38,35,72,49,46,57,,,56,,,44,,,,,,
WEST,6803,49,40,47,44,,50,,50,63,,,,,,54,C+,,
ALPHA,6845,45,47,50,41,36,45,,,59,,,,,,,,,68
CENTRAL,6867,51,47,30,42,,36,,61,61,,,,,,,,,62
SOUTH,6888,48,36,51,51,56,43,,,55,,,,54,,,,,
ALPHA,6931,45,48,46,45,,45,57,,55,,,,47,,,,,
,6638,44,42,40,48,,38,61,,64,,,,,,,,,57
EAST,6662,42,34,68,42,52,52,,50,52,,,,,,,,,
,6668,48,46,44,45,,41,51,,66,,,48,,,,,,
EAST,6800,46,48,47,53,,40,,51,60,,,43,,,,,,
NORTH,6711,50,36,52,37,46,35,,,61,,,,,,,,,68
ALPHA,6949,50,33,47,47,,43,,53,67,,,48,,,,,,
EAST,6704,49,41,52,49,,43,38,,70,,,45,,,,,,
NORTH,6934,45,32,57,39,,38,,54,62,,,,,,,,,61
WEST,6850,51,39,47,47,,38,,57,60,,,,,,,,,49
ALPHA,6838,42,39,51,46,47,47,,56,58,,,,,,,,,
CENTRAL,6879,41,36,64,37,51,47,,53,55,,,,,,,,,
SOUTH,6748,45,38,48,51,,43,52,,70,,,38,,,,,,
EAST,6692,37,35,43,42,,50,,52,60,,,,,,,,,60
NORTH,6887,47,42,41,45,,40,55,,58,,,,,,,,,51
WEST,6779,38,34,54,52,54,56,,39,62,,,,,,,,,
CENTRAL,6667,45,38,49,44,,34,52,,67,,,,,,,,,57
,6728,43,43,62,44,,45,,46,60,,,,39,,,,,
EAST,6841,42,42,63,39,38,46,,53,63,,,,,,,,,
NORTH,6863,44,45,44,41,40,42,,,73,,,,53,,,,,
SOUTH,6843,52,35,53,44,,33,,48,64,,55,,,,,,,
WEST,6815,50,38,38,52,,33,62,,68,,,42,,,,,,
ALPHA,6708,44,35,50,36,,42,57,,63,,,,,,,,,54
NORTH,6795,41,48,41,41,,40,,57,63,,,,48,,,,,
WEST,6617,37,48,50,42,45,49,,,51,,,,,,,,,59
ALPHA,6756,37,47,55,38,36,35,,,61,,,,,,,,,65
,6763,40,38,51,42,,37,,61,61,,,46,,,,,,
,6799,43,47,56,35,35,40,,,64,,,,,,,,,57
CENTRAL,6885,47,36,41,50,,36,,61,64,,,41,,,,,,
WEST,6939,43,38,52,43,,39,43,,52,,,,,,,,73,
ALPHA,6684,55,39,43,38,38,47,64,,57,,,,,,,,,
,6771,48,51,61,35,31,30,,,64,,,,,53,,,,
NORTH,6921,45,37,41,38,,40,,42,56,,,,,,,,72,
SOUTH,6946,43,40,55,37,36,35,,,64,,62,,,,,,,
,6685,44,37,40,40,,41,54,,55,,,,,,,,,61
,6865,44,35,40,45,,41,53,,57,,,,,,,,,58
WEST,6877,57,40,31,41,,39,45,,56,,63,,,,,,,
EAST,6722,33,48,42,45,,36,,62,64,,,44,,,,,,
,6738,44,45,41,47,,42,,53,58,,,43,,,,,,
ALPHA,6878,38,42,53,43,,44,45,,46,,,,,,,,,61
CENTRAL,6852,46,48,41,44,,33,,53,60,,,,,48,,,,
EAST,6734,46,35,44,41,,47,49,,53,,,,,57,,,,
NORTH,6705,36,43,48,47,,37,53,,67,,,41,,,,,,
SOUTH,6849,48,46,58,44,36,36,,,62,41,,,,,,,,
CENTRAL,6601,42,47,47,37,44,32,,60,60,,,,,,,,,
EAST,6776,40,36,47,48,,35,,60,54,,,47,,,,,,
,6700,47,43,25,41,34,50,,,70,,,,,59,,,,
,6766,40,37,48,46,42,40,,57,58,,,,,,,,,
SOUTH,6922,51,36,31,40,,29,,62,67,,,,,,,,,54
WEST,6731,49,40,42,40,36,42,55,,63,,,,,,,,,
CENTRAL,6926,37,34,56,46,,38,54,,64,,,41,,,,,,
EAST,6788,42,43,67,32,38,48,,,46,,,,,,,,,52
CENTRAL,6805,43,45,37,49,,41,,50,57,,,41,,,,,,
SOUTH,6688,47,41,47,41,,42,,56,58,,,,31,,,,,
CENTRAL,6873,47,46,35,41,,31,51,,60,47,,,,,,,,
SOUTH,6882,46,38,48,50,45,35,,,51,,,,,,,,49,
EAST,6614,42,39,47,48,45,39,,,60,,,,44,,,,,
SOUTH,6712,60,40,27,44,,29,61,,58,,,,44,,,,,
ALPHA,6906,40,36,40,43,43,42,56,,59,,,,,,,,,
,6673,36,42,46,41,,41,42,,64,,,46,,,,,,
,6679,36,48,37,37,,32,53,,62,,,,,,,,,55
CENTRAL,6775,37,38,53,45,,27,,55,57,,,,,,,,,49
EAST,6691,40,31,50,44,,35,,54,58,,,,,,,,,46
,6789,38,43,31,40,,37,,63,71,37,,,,,,,,
NORTH,6905,46,41,45,36,,27,54,,67,,,42,,,,,,
ALPHA,6786,36,39,43,43,,41,,51,58,,,,,,,,,53
ALPHA,6714,46,44,39,36,,44,,52,45,,,,52,,,,,
CENTRAL,6897,41,40,53,33,,27,52,,54,,,,,,,,,55
,6627,38,42,29,42,,35,52,,58,,,,,,,,,60
NORTH,6893,38,30,39,48,,40,47,,64,,,,,,,,51,
ALPHA,6804,47,33,50,35,,36,,58,61,,,32,,,,,,
SOUTH,6610,37,30,30,43,,35,,59,61,,,,,,,,,57
SOUTH,6652,50,39,61,38,27,39,,,64,38,,,,,,,,
WEST,6671,42,39,60,38,42,44,,,49,,,42,,,,,,
CENTRAL,6721,50,42,44,31,,29,,55,63,,,37,,,,,,
NORTH,6801,38,45,27,34,,31,64,,63,,,52,,,,,,
ALPHA,6872,46,32,50,37,,41,51,,39,,,,51,,,,,
NORTH,6699,43,30,52,31,,35,,45,64,,,,,49,,,,
NORTH,6783,38,35,37,41,,23,55,,52,,61,,,,,,,
ALPHA,6612,50,38,32,29,,31,,49,67,,,,,,,,,54
SOUTH,6784,48,37,28,42,,35,,46,55,,,,,54,,,,
ALPHA,6600,48,41,30,32,,40,46,,57,,,,,46,,,,
CENTRAL,6769,50,40,42,36,,25,,55,51,,,38,,,,,,
ALPHA,6750,47,42,38,37,32,31,,,64,,,,,,,,,54
CENTRAL,7236,42,43,44,35,45,36,,,47,48,,,,,,,,
EAST,6698,39,42,36,42,,32,46,,60,,,42,,,,,,
WEST,6911,41,36,38,43,,32,43,,51,,56,,,,,,,
ALPHA,6916,46,43,39,47,35,35,,,51,,,,41,,,,,
NORTH,6747,42,32,21,39,,31,59,,60,53,,,,,,,,
SOUTH,6676,46,40,30,31,,32,53,,71,,,31,,,,,,
,6773,38,42,32,32,,29,,67,58,42,,,,,,,,
WEST,6871,45,45,37,33,,44,48,,54,,,,,,,,,33
ALPHA,6896,48,34,32,32,,30,46,,56,,,,,,,,,57
NORTH,6693,41,43,44,36,,35,39,,62,35,,,,,,,,
SOUTH,6718,39,32,43,31,,30,,49,68,,,,,,,,,45
NORTH,6675,47,41,36,32,,27,47,,61,,,,42,,,,,
WEST,6857,46,36,33,35,,25,46,,65,40,,,,,,,,
WEST,6901,37,42,31,38,,34,,54,52,,,,,,,,,46
ALPHA,6768,43,39,35,41,,29,,43,58,,,45,,,,,,
ALPHA,6816,37,43,40,35,,26,48,,62,38,,,,,,,,
,6625,49,28,30,40,,22,,37,58,,,,,,,,64,
SOUTH,6664,53,35,36,32,30,28,,50,63,,,,,,,,,
CENTRAL,6836,31,31,45,43,52,35,,46,41,,,,,,,,,
CENTRAL,6643,43,38,52,28,,29,,52,49,,,,,,,,,42
SOUTH,6646,52,29,32,37,,28,,51,62,38,,,,,,,,
WEST,6623,38,34,58,33,36,46,,,41,,,,,,,,43,
ALPHA,6918,47,43,22,32,,24,57,,57,,39,,,,,,,
CENTRAL,6757,41,40,15,30,,23,,63,59,36,,,,,,,,
EAST,6925,37,36,31,38,,31,,50,56,,,35,,,,,,
NORTH,6651,35,37,38,37,,27,48,,54,42,,,,,,,,
WEST,6917,44,41,27,34,,32,41,,55,,,,41,,,,,
SOUTH,6870,53,37,40,32,34,25,,,55,,,,,,,,,35
ALPHA,6902,47,38,39,34,32,34,47,,49,,,,,,,,,
NORTH,6929,36,39,26,31,,25,,57,57,,,,,,,,,36
CENTRAL,6717,40,41,24,28,,23,48,,50,,,,47,,,,,
SOUTH,6616,32,39,27,32,,29,41,,59,,,,,51,,,,
CENTRAL,6709,40,32,40,33,,29,,47,55,29,,,,,,,,
SOUTH,6742,31,28,35,40,,25,,46,58,,,39,,,,,,
CENTRAL,6823,38,38,32,52,,24,,39,46,,,34,,,,,,
SOUTH,6944,38,21,38,32,37,40,,,42,,,,,,,,,45
WEST,6635,30,38,14,21,,12,,40,63,,,,,,,,,45
WEST,6889,32,26,38,32,35,34,,,53,46,,,,,,,,
WEST,6856,49,33,30,22,,30,39,,51,38,,,,,,,,
CENTRAL,6661,38,31,27,29,,24,47,,58,39,,,,,,,,
WEST,6895,33,33,23,41,,25,40,,58,30,,,,,,,,
ALPHA,6624,37,32,12,13,,20,48,,54,41,,,,,,,,
EAST,6770,35,28,41,41,,26,35,,38,34,,,,,,,,
ALPHA,6828,31,33,25,23,,29,,54,37,,,38,,,,,,
NORTH,6741,28,32,28,34,,30,33,,50,,,35,,,,,,
ALPHA,6780,32,31,20,26,,28,,37,50,29,,,,,,,,
EAST,6818,27,15,23,31,,23,,30,31,29,,,,,,,,
CENTRAL,6631,,,,,,,,,,,,,,,,,,
WEST,6713,17,38,0,,,18,,,33,,,47,,,,,,
