STREAM,ADMNO,ENG,KIS,MAT,BIO,PHY,CHE,HIS,GEO,CRE,HSC,AD,AGR,COM,FRE,GER,,MUS,BST
NORTH,6765,51,60,53,37,,35,,52,66,,,,,66,,,,
CENTRAL,6930,43,53,67,49,48,39,,,62,,,,,66,,,,
EAST,6914,54,59,44,48,,38,62,,76,,,,48,,,,,
ALPHA,6912,43,48,62,38,54,45,65,,66,,,,,,,,,
CENTRAL,6745,48,61,50,40,,34,52,,68,,,,,,,,,68
SOUTH,6927,51,57,61,28,,38,,51,69,,,,,,,,65,
WEST,6837,58,64,47,32,,35,63,,65,,,,,,,,,57
ALPHA,6648,46,61,48,31,,33,60,,70,,67,,,,,,,
,6802,58,57,40,46,,30,,52,66,,,,,66,,,,
SOUTH,6826,51,56,55,40,,40,,61,49,,,,,,,,64,
ALPHA,6949,47,56,64,39,,39,,61,63,,,53,,,,,,
EAST,6792,59,59,37,47,,38,,52,66,,,,,,,,64,
,6636,50,63,37,33,,32,,60,62,,,,,,,,,77
,6690,47,64,38,38,,36,67,,62,,,,,,,,,66
ALPHA,6822,52,60,48,40,46,37,,,74,,,,,,58,C+,,
WEST,6653,51,62,44,44,48,41,,,76,,,,,,51,C,,
ALPHA,6798,48,66,50,46,39,37,,,65,,,60,,,,,,
,6806,51,33,55,40,45,41,,,69,,,,,78,,,,
,6824,43,50,50,46,45,42,,,74,,,,,61,,,,
EAST,6880,56,64,40,36,42,43,,,60,,,,,,,,71,
EAST,6874,46,51,57,41,42,46,,,70,,,,56,,,,,
NORTH,6669,52,56,53,45,40,40,,58,65,,,,,,,,,
NORTH,6615,53,54,59,44,46,44,,,74,,,,46,,,,,
CENTRAL,6715,48,57,47,39,43,47,,,69,,,,,,,,,65
SOUTH,6859,55,62,40,33,54,49,,,69,,,,52,,,,,
,6695,39,59,54,41,,36,56,,69,,,,,,,,,62
WEST,6707,53,57,34,46,,31,62,,69,,,,,,,,,64
EAST,6740,51,55,36,44,,47,48,,61,,,,,69,,,,
,6807,55,62,48,44,31,50,,54,68,,,,,,,,,
NORTH,6909,48,65,54,38,,33,,50,66,57,,,,,,,,
SOUTH,6622,52,50,53,42,42,39,,,68,,,,,,,,,67
CENTRAL,6787,51,57,58,32,49,41,,,65,,,,,,,,,55
,6847,51,48,50,52,40,37,,,73,,,,,,55,C+,,
EAST,6920,52,57,50,43,,39,,61,68,,,,40,,,,,
SOUTH,6694,58,46,55,49,40,31,,,66,,,,,62,,,,
WEST,6677,51,62,39,35,,19,60,,61,,,72,,,,,,
,6642,39,54,50,36,,39,,65,63,,,,,,,,,60
ALPHA,6774,49,58,37,38,,34,,64,60,,,70,,,,,,
CENTRAL,6703,48,57,48,41,50,34,,,68,,,64,,,,,,
,6746,52,57,39,36,,33,,58,68,66,,,,,,,,
EAST,6899,49,58,67,36,38,41,,,71,,,,47,,,,,
SOUTH,6760,49,63,46,24,,36,,62,63,,,,,63,,,,
,6939,47,54,51,38,,30,51,,58,,,,,,,,80,
WEST,6941,50,48,65,43,54,34,,,67,,,,45,,,,,
,6606,47,55,53,45,43,42,,,52,,68,,,,,,,
ALPHA,6884,56,61,48,45,39,41,,57,56,,,,,,,,,
EAST,6886,52,54,55,45,47,36,,64,51,,,,,,,,,
NORTH,6621,48,61,45,32,,37,,53,66,,,,,63,,,,
WEST,7299,54,57,55,37,50,38,,52,62,,,,,,,,,
ALPHA,6678,43,56,60,36,55,47,,,55,,,47,,,,,,
NORTH,6759,42,56,40,40,,31,57,,62,,,,,71,,,,
,6658,48,55,43,31,,36,56,,65,67,,,,,,,,
SOUTH,6849,54,47,55,30,29,40,,,65,82,,,,,,,,
CENTRAL,6840,49,54,78,33,43,46,,,52,,,,,,50,C,,
EAST,6892,53,58,47,36,42,39,,,61,,,,,,,,,68
ALPHA,6666,47,60,37,39,47,48,,63,61,,,,,,,,,
CENTRAL,6885,44,55,44,32,,35,,61,70,,,57,,,,,,
,6603,43,60,40,32,,40,59,,69,,,,,,58,C+,,
,6644,44,65,46,44,41,40,,,74,,,,47,,,,,
,6657,45,60,33,28,,37,54,,77,,,,,,,,,67
,6663,50,55,55,36,49,48,,,58,,,,48,,,,,
NORTH,6875,47,51,69,38,42,37,,,66,,,,50,,,,,
,6790,58,56,41,35,,34,,53,69,,,,,,,,,56
,6855,51,61,40,32,44,35,,,69,,,,,,69,B,,
SOUTH,6876,56,62,50,41,38,39,,,64,,,,,,51,C,,
WEST,7301,49,62,46,36,42,39,,,56,,,,,72,,,,
CENTRAL,6751,49,54,43,36,,33,,56,69,,,,,64,,,,
ALPHA,6702,49,57,34,45,32,39,70,,74,,,,,,,,,
CENTRAL,6913,53,54,55,33,44,47,,,63,,,,,53,,,,
EAST,6908,39,59,46,40,39,41,,,68,,,,,,,,68,
NORTH,6609,48,58,45,37,47,43,,,68,,,,52,,,,,
CENTRAL,6619,49,53,47,47,42,41,,,66,,,,,,,,,52
WEST,6701,44,62,31,38,,36,,71,58,,,,,,,,,56
,6692,36,51,31,51,,37,,59,65,,,,,,,,,63
EAST,6904,51,53,55,40,39,40,,,57,,,,,,,,,56
NORTH,6723,38,52,70,31,42,36,55,,66,,,,,,,,,
SOUTH,6730,55,55,47,33,37,41,,,71,,,,54,,,,,
SOUTH,6754,54,55,47,33,39,42,,57,68,,,,,,,,,
,6685,49,57,43,36,,34,59,,61,,,,,,,,,58
WEST,6821,50,54,57,39,49,38,,,63,,,,,,,,,45
ALPHA,6630,48,60,33,40,,28,,58,62,,,,,,,,,63
,6793,39,57,43,40,42,37,,,72,,,,,,,,,64
CENTRAL,6879,47,45,47,44,46,38,,73,51,,,,,,,,,
,6645,44,52,44,44,42,45,,61,60,,,,,,,,,
NORTH,6687,39,48,37,40,,41,58,,64,,,,,,,,,66
,6779,45,48,53,40,48,38,,61,59,,,,,,,,,
WEST,6809,53,56,51,33,36,36,,58,68,,,,,,,,,
SOUTH,6676,49,63,26,24,,31,67,,72,,,56,,,,,,
ALPHA,6878,41,57,57,36,,32,50,,57,,,,,,,,,55
CENTRAL,6811,48,56,35,39,41,35,,62,70,,,,,,,,,
NORTH,6915,46,54,29,43,45,34,,64,77,,,,,,,,,
,6804,43,52,34,35,,33,,71,63,,,55,,,,,,
,6838,49,63,39,45,47,32,,55,56,,,,,,,,,
ALPHA,6931,46,59,50,38,,35,58,,56,,,,42,,,,,
,6640,53,55,55,42,39,25,49,,68,,,,,,,,,
SOUTH,6882,51,53,51,30,36,39,,,58,,,,,,,,67,
WEST,6797,47,60,49,30,42,37,,57,60,,,,,,,,,
ALPHA,6618,48,54,37,38,,33,,64,57,,,,,59,,,,
SOUTH,6832,49,64,37,34,39,38,,64,68,,,,,,,,,
NORTH,6627,36,55,28,39,,48,59,,59,,,,,,,,,64
WEST,6883,44,54,53,32,43,31,,62,69,,,,,,,,,
EAST,6638,46,57,33,42,,34,53,,69,,,,,,,,,52
NORTH,6777,49,59,43,43,,33,56,,61,,,,,,,,,40
EAST,6830,47,53,57,43,40,34,,,67,,,40,,,,,,
NORTH,6854,47,53,66,48,36,30,,,53,,,,,48,,,,
,6843,57,52,40,36,,33,,47,53,,63,,,,,,,
SOUTH,6894,54,56,45,25,,34,53,,64,,,,50,,,,,
WEST,6865,43,50,42,32,,37,58,,59,,,,,,,,,60
,6708,43,50,40,28,,40,63,,66,,,,,,,,,47
ALPHA,6845,42,60,46,30,41,34,,,62,,,,,,,,,60
,6667,34,48,32,31,,23,60,,76,,,,,,,,,70
CENTRAL,6873,42,57,33,33,,22,45,,65,78,,,,,,,,
EAST,6716,47,51,30,35,,33,61,,66,,53,,,,,,,
NORTH,6881,39,55,56,32,,31,50,,64,,,,,51,,,,
NORTH,6801,47,54,22,30,,43,56,,70,,,51,,,,,,
SOUTH,6748,46,56,34,45,,27,50,,70,,,45,,,,,,
NORTH,6921,48,48,38,27,,33,,64,56,,,,,,,,68,
ALPHA,6684,46,63,33,40,43,34,57,,64,,,,,,,,,
EAST,6662,52,56,57,34,37,30,,54,59,,,,,,,,,
WEST,6803,42,54,39,36,,40,,46,63,,,,,,59,C+,,
CENTRAL,6763,34,52,37,33,,42,,56,65,,,55,,,,,,
EAST,6800,49,63,36,36,,31,,56,63,,,40,,,,,,
NORTH,6934,46,48,48,33,,31,,55,63,,,,,,,,,53
EAST,6776,46,67,38,32,,25,,55,62,,,47,,,,,,
EAST,6656,42,56,30,27,,24,66,,65,,,,,,,,,57
SOUTH,6700,51,60,30,33,35,35,,,64,,,,,62,,,,
ALPHA,6696,49,57,31,43,,32,69,,48,,,,49,,,,,
,6655,48,53,54,28,50,28,,51,62,,,,,,,,,
CENTRAL,6852,47,63,33,44,,25,,52,61,,,,,49,,,,
NORTH,6835,51,53,39,32,39,42,,,73,,,,46,,,,,
SOUTH,6712,58,52,32,38,,29,57,,73,,,,36,,,,,
NORTH,6887,50,57,29,37,,38,54,,60,,,,,,,,,47
SOUTH,6943,53,58,50,43,29,34,,,55,,,,,,,,,51
EAST,6668,46,54,25,41,,34,57,,63,,,50,,,,,,
CENTRAL,6673,37,55,40,36,,35,47,,57,,,57,,,,,,
CENTRAL,6903,44,54,43,38,43,39,,53,64,,,,,,,,,
WEST,6767,53,52,28,36,,34,62,,57,,,,,,49,C-,,
,6788,36,52,58,35,39,33,,,63,,,,,,,,,53
EAST,6834,41,52,56,33,44,32,,56,52,,,,,,,,,
,6688,46,60,43,29,,29,,59,65,,,,37,,,,,
SOUTH,6888,48,58,34,42,36,42,,,60,,,,46,,,,,
WEST,6617,43,58,44,27,42,32,,,62,,,,,,,,,61
,6907,46,44,32,28,,33,,55,71,,,,56,,,,,
CENTRAL,6926,38,49,41,30,,32,55,,63,,,57,,,,,,
EAST,6734,41,41,48,34,,31,51,,57,,,,,60,,,,
NORTH,6863,47,49,40,42,37,35,,,62,,,,51,,,,,
SOUTH,6664,47,49,40,28,47,28,,55,71,,,,,,,,,
WEST,6815,51,47,19,40,,31,57,,64,,,48,,,,,,
,6861,49,48,45,29,46,36,,44,66,,,,,,,,,
CENTRAL,6897,44,55,30,34,,31,53,,64,,,,,,,,,53
EAST,6704,43,67,29,34,,33,50,,62,,,46,,,,,,
SOUTH,6839,44,58,60,29,38,37,,,58,,,,,,,,,41
ALPHA,6756,49,57,27,36,44,26,,,70,,,,,,,,,53
CENTRAL,6867,35,49,27,36,,29,,66,65,,,,,,,,,54
,6651,45,49,28,32,,36,47,,63,62,,,,,,,,
NORTH,6711,39,46,48,33,35,41,,,57,,,,,,,,,60
SOUTH,6922,52,52,31,35,,23,,42,70,,,,,,,,,47
ALPHA,6612,43,59,12,28,,27,,55,60,,,,,,,,,63
NORTH,6771,53,53,55,28,29,30,,,53,,,,,57,,,,
SOUTH,6766,44,55,48,37,33,28,,54,60,,,,,,,,,
ALPHA,6906,41,62,44,36,36,31,48,,59,,,,,,,,,
CENTRAL,6709,45,41,34,26,,26,,53,53,75,,,,,,,,
SOUTH,6646,48,48,38,24,,22,,46,59,66,,,,,,,,
,6602,39,53,49,26,,33,51,,59,,,,,,45,C-,,
EAST,6620,43,48,37,28,,32,51,,64,,,,,,,,,54
ALPHA,6750,41,53,37,35,35,29,,,64,,,,,,,,,57
EAST,6614,51,58,36,34,39,30,,,68,,,,37,,,,,
SOUTH,6946,48,52,40,30,33,33,,,66,,49,,,,,,,
EAST,6841,44,51,41,37,36,26,,58,56,,,,,,,,,
NORTH,6783,52,56,26,30,,31,44,,54,,55,,,,,,,
SOUTH,6610,42,60,27,34,,23,,57,61,,,,,,,,,43
ALPHA,6918,43,56,22,29,,22,61,,55,,54,,,,,,,
CENTRAL,6601,36,61,35,29,36,30,,53,66,,,,,,,,,
ALPHA,6816,36,58,35,23,,24,47,,56,61,,,,,,,,
WEST,6877,49,52,21,26,,17,49,,53,,72,,,,,,,
CENTRAL,6631,33,43,35,31,,26,,51,56,68,,,,,,,,
NORTH,6905,49,45,27,31,,31,50,,62,,,47,,,,,,
WEST,6671,48,49,62,38,37,25,,,45,,,40,,,,,,
,6789,45,57,24,32,,26,,50,68,38,,,,,,,,
NORTH,6893,43,46,32,31,,30,48,,55,,,,,,,,55,
ALPHA,6714,41,57,19,26,,33,,60,58,,,,40,,,,,
CENTRAL,6643,43,48,37,20,,22,,56,57,,,,,,,,,51
NORTH,6705,41,54,23,33,,30,41,,65,,,50,,,,,,
WEST,6871,46,62,43,21,,30,46,,52,,,,,,,,,36
CENTRAL,6775,42,54,35,33,,25,,57,54,,,,,,,,,41
CENTRAL,6721,43,57,35,27,,31,,50,63,,,32,,,,,,
EAST,6691,44,50,36,30,,23,,61,49,,,,,,,,,41
ALPHA,6896,49,52,26,18,,26,45,,63,,,,,,,,,51
