FORM,STREAM,ADMNO,STREAM,ADMNO,ENG,KIS,MAT,BIO,PHY,CHE,HIS,GEO,CRE,HSC,AD,AGR,COM,FRE,GER,MUS,BST
1,ALPHA,8048,CENTRAL,8075,0,60,62,72,18,72,90,71,77,45,nan,nan,71,nan,nan,nan,nan
1,ALPHA,8059,EAST,7745,83,88,nan,45,45,86,69,74,78,nan,nan,nan,53,nan,nan,78,nan
1,ALPHA,8066,WEST,7846,69,98,62,94,62,90,68,93,98,81,nan,nan,76,85,nan,nan,nan
1,ALPHA,8073,EAST,7787,83,88,nan,60,70,88,90,82,89,59,nan,nan,55,nan,nan,nan,92
1,ALPHA,8080,nan,7914,67,68,78,53,67,78,53,63,91,nan,nan,96,86,nan,nan,nan,93
1,ALPHA,8087,nan,7942,70,68,98,47,71,68,53,66,75,77,nan,nan,87,nan,nan,nan,100
1,ALPHA,8110,NORTH,7998,70,75,95,56,56,86,70,61,89,85,nan,nan,71,nan,nan,nan,100
1,ALPHA,8111,CENTRAL,7891,0,68,72,80,53,90,95,78,86,55,nan,nan,74,73,nan,nan,nan
1,ALPHA,8115,SOUTH,8020,83,68,66,94,90,72,71,87,87,51,nan,nan,97,nan,88,nan,nan
1,BETA,7673,ALPHA,7735,68,68,66,60,62,66,90,68,80,nan,nan,64,55,nan,nan,nan,88
1,BETA,7680,CENTRAL,7870,0,80,50,72,62,62,68,69,97,nan,nan,80,66,nan,88,nan,nan
1,BETA,7687,CENTRAL,7940,0,85,56,75,42,80,68,71,88,nan,nan,64,50,nan,nan,nan,nan
1,BETA,7694,NORTH,7921,57,93,85,56,76,76,60,53,95,nan,nan,92,72,nan,nan,71,nan
1,BETA,7701,ALPHA,7813,73,57,50,62,67,78,75,72,89,46,nan,nan,71,nan,nan,62,nan
1,BETA,7708,CENTRAL,7898,0,68,66,68,71,90,65,67,77,68,nan,nan,76,nan,nan,82,nan
1,BETA,7715,EAST,7948,65,90,nan,35,95,84,72,82,88,nan,nan,nan,45,83,nan,nan,nan
1,BETA,7722,nan,7695,0,80,86,66,50,78,73,42,72,nan,nan,72,63,87,nan,nan,nan
1,BETA,7729,CENTRAL,7926,0,98,54,78,67,72,68,53,88,nan,nan,60,82,48,nan,nan,nan
1,BETA,7736,EAST,7836,76,73,nan,67,45,80,81,90,92,nan,50,nan,45,nan,nan,71,nan
1,BETA,7743,nan,7672,80,60,32,57,42,56,80,66,91,nan,nan,68,66,94,nan,nan,nan
1,BETA,7750,ALPHA,7980,78,62,64,74,69,50,85,70,94,nan,56,nan,61,85,nan,nan,nan
1,BETA,7757,CENTRAL,7800,0,78,52,68,49,68,55,49,82,nan,nan,64,50,nan,nan,nan,nan
1,BETA,7764,CENTRAL,7821,0,88,74,52,67,84,80,69,84,nan,nan,80,55,nan,nan,nan,nan
1,BETA,7771,nan,7773,85,88,nan,65,68,84,90,56,71,nan,nan,nan,68,nan,nan,54,nan
1,BETA,7778,EAST,7906,80,93,nan,65,50,88,76,64,89,47,nan,nan,24,nan,nan,29,nan
1,BETA,7785,NORTH,8112,70,65,65,38,40,54,63,65,63,nan,67,nan,39,nan,nan,nan,78
1,BETA,7792,nan,7726,74,85,78,86,72,78,63,79,91,71,nan,nan,57,73,nan,nan,nan
1,BETA,7806,nan,7920,73,78,62,80,65,68,60,81,96,53,nan,nan,66,nan,nan,nan,nan
1,BETA,7820,nan,7992,66,90,60,60,65,60,70,81,89,67,nan,nan,45,nan,68,nan,nan
1,BETA,7827,SOUTH,8071,75,93,84,63,75,78,48,68,87,nan,70,nan,64,nan,nan,nan,nan
1,BETA,7841,BETA,7736,75,73,68,79,67,68,50,69,100,nan,58,nan,55,nan,nan,nan,nan
1,BETA,7848,CENTRAL,7681,0,75,68,60,71,56,88,62,87,nan,nan,60,50,nan,nan,nan,nan
